name,description,close,change,volume,market_cap_basic,price_earnings_ttm
MSFT,Microsoft Corporation,450.18,-1.0288880094974293,16883492,3345982578863.0,34.7881860191954
NVDA,NVIDIA Corporation,131.29,-1.1593766468418432,198815162,3201842404039.0,44.664058513352614
AAPL,Apple Inc.,195.27,-3.024433849821217,78431110,2916518840395.0,30.47332199316469
AMZN,"Amazon.com, Inc.",200.99,-1.0388970950270728,33393545,2133780558863.9998,32.78097630192618
GOOG,Alphabet Inc.,169.59,-1.3896964763344497,24963648,2050497518158.0,18.91204710447961
GOOGL,Alphabet Inc.,168.47,-1.4045765786855537,35211326,2050497518158.0,18.787148863091456
META,"Meta Platforms, Inc.",627.06,-1.4939441066968446,8454036,1576521606898.9998,24.45937090432503
TSLA,"Tesla, Inc.",339.34,-0.4984752521698468,84654152,1091492897488.0001,186.61460624725032
BRK.A,Berkshire Hathaway Inc.,754505.0,-0.23074380165289254,269,1085760020860.0,13.40402863129864
BRK.B,Berkshire Hathaway Inc. New,503.46,-0.02184403360009803,3166844,1085760020860.0,13.416190778200889
AVGO,Broadcom Inc.,228.72,-0.7851472693358792,15385550,1075429719372.0,110.31688612357111
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,191.98,-2.1458789948519335,9403118,847854775826.25,24.700856900234168
WMT,Walmart Inc.,96.34,0.42739497550296734,13668571,770805444224.9999,41.282084243904535
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",23.93,-0.29166666666666785,151875,724537698765.0,1.1745880597454486
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",19.46,-0.2562788313685326,52844,724537698765.0,0.9551810966421409
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",18.62,0.05373455131650491,115942,724537698765.0,0.9139502579381635
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",19.0004,-0.26036745406825007,86175,724537698765.0,0.9326219377512504
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",17.47,-0.22844089091949,180386,724537698765.0,0.8575032763791469
JPM,JP Morgan Chase & Co.,260.71,0.01534507231363932,6671829,724537698765.0,12.796776141088001
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",24.82,-0.16090104585679463,213801,724537698765.0,1.2182731150389483
V,Visa Inc.,353.54,-1.237533871553484,5346050,685570368007.0,35.959193221925
LLY,Eli Lilly and Company,713.71,-0.2083333333333346,2635671,676408392834.0,59.124535054219514
TCEHY,Tencent Holding Ltd.,65.76,0.5966039467645717,1432170,599516890891.4064,22.286992476106555
TCTZF,Tencent Holding Ltd.,65.9653,2.1172613224020695,148102,597715190777.3438,22.327844343188158
MA,Mastercard Incorporated,563.58,-1.1505945908022497,1948806,511757509313.00006,39.532828282828284
NFLX,"Netflix, Inc.",1185.39,-0.2171772014444748,2186483,504467956576.00006,56.01396816996182
COST,Costco Wholesale Corporation,1008.5,-0.9458517085244512,1413911,447454658081.0,58.87469643190734
XOM,Exxon Mobil Corporation,103.03,0.05826939885403736,12061606,444022117410.0,13.630831106289524
ORCL,Oracle Corporation,155.97,-0.8518212446761193,6527516,437376362735.0,36.64536440956722
PG,Procter & Gamble Company (The),165.86,0.5029388596012923,5349868,388865736255.00006,26.34203671939521
JNJ,Johnson & Johnson,152.94,0.21623746805581814,6727539,367984847534.0,17.001078268989204
HD,"Home Depot, Inc. (The)",362.71,-0.9340944473274564,3115209,360507675009.0,24.6128686399848
SAPGF,SAP SE,294.368,-1.7922199239340808,1981,343562043954.1619,55.98816253429697
SAP,SAP SE,294.87,-1.6575506937032987,1420072,343010217962.32855,56.602361071120065
IDCBY,Industrial and Commercial Bank of China Ltd.,14.47,1.1180992313067795,31057,328620928076.1712,5.134665199957419
BAC/PP,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.125% Non-Cumulative Preferred Stock, Series PP",16.35,-0.1831501831501684,46402,325377047934.0,4.881325570980744
BML/PJ,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,21.67,-0.27611596870685096,16386,325377047934.0,6.469622331691298
BML/PH,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,20.39,0.19656019656019236,13784,325377047934.0,6.087475742648157
BML/PG,"Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock , Series 1)",20.5529,-0.78060884593475,3746,325377047934.0,6.13610986714435
BAC/PQ,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",16.7,-0.17931858936043715,98119,325377047934.0,4.985818778922227
BAC/PM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",21.43,0.23386342376052718,62464,325377047934.0,6.397969846245708
BAC/PS,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",18.72,-0.39904229848365436,55712,325377047934.0,5.588893864755933
MER/PK,"Bank of America Corporation Income Capital Obligation Notes initially due December 15, 2066",25.27,0.15854141894569618,62025,325377047934.0,7.544409613375131
BAC/PN,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",19.8501,-0.250753768844208,93395,325377047934.0,5.926287505597851
BAC/PO,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",17.23,-0.34702139965297124,123168,325377047934.0,5.144051350947903
BAC/PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,1166.6736,-0.122112832805396,2008,325377047934.0,348.31276309897004
BML/PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Pref,20.7,0.0,11617,325377047934.0,6.180026869682042
BAC/PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,21.75,-0.04595588235294836,30382,325377047934.0,6.4935064935064934
BAC/PB,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",24.16,-0.1240181893344404,72224,325377047934.0,7.213016868189282
BAC/PK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",23.56,-0.3805496828752637,63101,325377047934.0,7.033885654575309
BAC,Bank of America Corporation,43.2,-0.2539829138767015,34875060,325377047933.99994,12.897447380206001
ABBV,AbbVie Inc.,183.26,0.3944340966363531,4027044,323710995665.99994,78.14258911819887
KO,Coca-Cola Company (The),71.77,0.8855777340455376,12822144,308917199544.99994,28.735586162716206
IDCBF,Industrial and Commercial Bank of China Ltd.,0.6811,-0.409416581371533,1300,307964686209.5011,4.8276881774162295
NVO,Novo Nordisk A/S,67.35,-1.2028751650286158,6508380,296523337503.8688,19.975679202752403
NONOF,Novo-Nordisk A/S,65.94,-0.43786803563340815,10485,292719581055.2339,19.413813504445862
